method,fruit,feature_count,mahalanobis_alpha,validation_accuracy,validation_macro_f1
GLCM,Apple,16,0.25,0.4625,0.46782828282828287
GLCM,Banana,16,0.5,0.375,0.3574611662846957
GLCM,Grape,16,0.9,0.6438356164383562,0.6295643525425297
GLCM,Guava,16,0.25,0.7166666666666667,0.7254777742582621
GLCM,Mango,16,0.25,0.625,0.6259745790207976
GLCM,Melon,16,0.25,0.6181818181818182,0.6218629343629345
GLCM,Orange,16,0.25,0.65,0.6502982076152808
GLCM,Peach,16,0.25,0.6375,0.6305984981796852
GLCM,Pear,16,0.25,0.4857142857142857,0.48578212945590993
LBP,Apple,14,0.25,0.5625,0.555311125078567
LBP,Banana,14,0.25,0.45,0.45634725634725637
LBP,Grape,14,0.75,0.6986301369863014,0.6876435485549734
LBP,Guava,14,0.25,0.6333333333333333,0.634621831133459
LBP,Mango,14,0.25,0.6875,0.6821227415697462
LBP,Melon,14,0.75,0.5272727272727272,0.49111922560198423
LBP,Orange,14,0.25,0.4375,0.409335415200563
LBP,Peach,14,0.75,0.525,0.478025597590815
LBP,Pear,14,0.5,0.5714285714285714,0.5747377622377623
Colour_Texture_Fusion,Apple,91,0.5,0.65,0.6510789859627069
Colour_Texture_Fusion,Banana,91,0.25,0.725,0.7224408666269132
Colour_Texture_Fusion,Grape,91,0.9,0.8082191780821918,0.8048988805086366
Colour_Texture_Fusion,Guava,91,0.5,0.9833333333333333,0.9833229101521784
Colour_Texture_Fusion,Mango,91,0.25,0.7375,0.7420966420966422
Colour_Texture_Fusion,Melon,91,0.5,0.8545454545454545,0.8291666666666666
Colour_Texture_Fusion,Orange,91,0.25,0.7125,0.7101057298331329
Colour_Texture_Fusion,Peach,91,0.25,0.675,0.6497459349593496
Colour_Texture_Fusion,Pear,91,0.9,0.6142857142857143,0.6145191409897293
