method,fruit,accuracy,samples
GLCM,Apple,0.3875,80
GLCM,Banana,0.35,80
GLCM,Grape,0.6388888888888888,72
GLCM,Guava,0.85,60
GLCM,Mango,0.625,80
GLCM,Melon,0.509090909090909,55
GLCM,Orange,0.55,80
GLCM,Peach,0.675,80
GLCM,Pear,0.5714285714285714,70
LBP,Apple,0.3625,80
LBP,Banana,0.5125,80
LBP,Grape,0.6527777777777778,72
LBP,Guava,0.7666666666666667,60
LBP,Mango,0.675,80
LBP,Melon,0.5636363636363636,55
LBP,Orange,0.475,80
LBP,Peach,0.675,80
LBP,Pear,0.5142857142857142,70
Colour_Texture_Fusion,Apple,0.65,80
Colour_Texture_Fusion,Banana,0.7375,80
Colour_Texture_Fusion,Grape,0.6805555555555556,72
Colour_Texture_Fusion,Guava,0.95,60
Colour_Texture_Fusion,Mango,0.725,80
Colour_Texture_Fusion,Melon,0.5454545454545454,55
Colour_Texture_Fusion,Orange,0.75,80
Colour_Texture_Fusion,Peach,0.8375,80
Colour_Texture_Fusion,Pear,0.6428571428571429,70
